QuestionID,AnswerKey,question
1,B,Which property of an object is identified using the sense of smell? (A) color (B) odor (C) temperature (D) weight
2,D,Which type of energy is needed to cut a piece of wood into smaller pieces with a saw? (A) light (B) heat (C) sound (D) mechanical
3,A,Which material is the best conductor of electricity? (A) metal (B) glass (C) wood (D) plastic
4,B,What force causes objects to be pulled toward Earth? (A) friction (B) gravity (C) light (D) electricity
5,B,"When a rock is placed in a graduated cylinder containing water, the height of the water will (A) decrease (B) increase (C) remain the same"
6,D,Which energy transformation occurs when a person hits a drum with a drumstick? (A) electrical to light (B) sound to electrical (C) light to mechanical (D) mechanical to sound
7,A,A magnet and a metal paper clip have the strongest magnetic attraction when the distance between them is (A) 4 centimeters (B) 8 centimeters (C) 12 centimeters (D) 16 centimeters
8,A,A student rubs her hands together on a cold winter day. The heat that warms her hands is produced by (A) friction (B) gravity (C) light (D) magnetism
9,C,Which property of a rubber band will stay the same when it is stretched? (A) shape (B) length (C) mass (D) width
10,C,"Precipitation is most likely to occur when the sky (A) is clear and sunny (B) is partly sunny (C) has thick, dark clouds (D) has white, puffy clouds"
11,C,In which state of matter does water have a definite shape and volume? (A) gas (B) liquid (C) solid
12,D,"In order to survive, all animals need (A) heat, water, and soil (B) sunlight, soil, and heat (C) sunlight, air, and food (D) food, water, and air"
13,A,Which part of a plant takes in water and nutrients from the soil? (A) root (B) stem (C) flower (D) leaf
14,B,Which physical change would most likely help an animal survive during the winter? (A) tail gets longer (B) fur gets thicker (C) feathers are shed (D) whiskers get shorter
15,C,The leaves of a tree change color in the fall. This is an example of a tree (A) completing its life cycle (B) preparing for migration (C) responding to its environment (D) beginning hibernation
16,C,One role of a producer in a food chain is to provide (A) water for plants (B) sunlight for plants (C) nutrients for animals (D) shelter for animals
17,D,Which sequence shows the life cycle of some insects? (A) adult -> pupa -> larva -> egg (B) egg -> pupa -> larva -> adult (C) larva -> pupa -> egg -> adult (D) egg -> larva -> pupa -> adult
18,C,What is the major source of energy for food chains? (A) water (B) air (C) sunlight (D) grass
19,C,Which statement is an example of how humans have changed the natural environment? (A) Wind and rain destroy wheat plants. (B) The Sun's energy helps a wheat plant grow. (C) A forest is cleared to make space to plant wheat. (D) A wheat plant's seeds are scattered by the wind.
20,A,Some birds fly south in the fall and return in the spring. This is an example of (A) migration (B) camouflage (C) hibernation (D) growth
21,C,Which statement is an example of an inherited trait in a living thing? (A) A child learns to ride a bicycle. (B) A cat has a kitten with a broken leg. (C) A white dog has a puppy with white fur. (D) A person has a scar from a burn.
22,B,Which property of an object allows it to bend? (A) color (B) flexibility (C) mass (D) size
23,B,A ball is thrown up into the air. Which force causes the ball to fall to the ground? (A) friction (B) gravity (C) magnetism (D) electricity
24,D,Which form of energy is produced when a guitar string vibrates? (A) chemical (B) light (C) magnetic (D) sound
25,A,"A toy truck rolls over a smooth surface. If the surface is covered with sand, the truck will most likely roll (A) slower (B) faster (C) at the same speed"
26,A,A student rubs his hands together to warm them. His hands get warm due to (A) friction (B) gravity (C) magnetism (D) sound
27,C,The Sun is classified as (A) an organism (B) a decomposer (C) a star (D) a planet
28,D,About how long does it take for Earth to make one revolution around the Sun? (A) one day (B) one week (C) one month (D) one year
29,C,"When a lightbulb is lit, electrical energy is changed into light energy and (A) chemical energy (B) magnetic energy (C) heat energy (D) mechanical energy"
30,C,Which tool would be most useful for observing the details of an insect's wings? (A) thermometer (B) balance (C) hand lens (D) graduated cylinder
31,A,"As the distance between a magnet and a metal paper clip increases, the force of attraction between them (A) decreases (B) increases (C) remains the same"
32,C,Which behavior will best help a student stay healthy? (A) watching television five hours a day (B) sleeping three hours each night (C) eating fruits and vegetables each day (D) exercising once a month
33,A,Which two life processes occur in both plants and humans? (A) growing and reproducing (B) germinating and making food (C) growing and making food (D) germinating and reproducing
34,B,A student places soil in a plastic container to make a home for some worms. The student cuts holes in the top of the container because the worms need (A) space to move (B) air to breathe (C) sunlight to grow (D) sound to communicate
35,B,"As children grow, their body height usually (A) decreases (B) increases (C) remains the same"
36,D,Which human response is most likely to occur because the air temperature is 90°F? (A) blinking (B) salivating (C) shivering (D) sweating
37,A,Plants are producers because they (A) make their own food (B) can grow in soil (C) need water to grow (D) take in nutrients
38,B,Why do some animals hibernate in the winter? (A) to find food for their young (B) to adapt to environmental changes (C) to attract a mate (D) to avoid predators
39,A,"A male puppy inherits traits from (A) both parents (B) its mother, only (C) its father, only"
40,B,Which two environmental changes usually cause certain animals to migrate? (A) change of season and fewer predators (B) change of season and less food (C) loss of habitat and fewer predators (D) loss of habitat and more food
41,C,The function of a plant?�s roots is to take in (A) light and water (B) light and air (C) nutrients and water (D) nutrients and soil
42,C,The energy that is stored in food originally comes from (A) air (B) soil (C) sunlight (D) water
43,A,"When two animals live in the same area and depend on the same organism for food, they are (A) competing (B) decomposing (C) germinating (D) hibernating"
44,D,A boy and his sister both play piano. Playing piano is an example of (A) a physical change (B) an inherited trait (C) a life function (D) a learned behavior
45,B,"A student performed this experiment: Four different types of seeds were planted in identical pots filled with the same kind and amount of soil. The pots were placed in a warm, sunny place and were given the same amount of water each day for a month. Which question about these seeds could be answered at the end of the month? (A) Which seeds grew well in the dark? (B) Which seeds produced the tallest plants? (C) Which seeds survived in cold temperatures? (D) Which seeds needed the least amount of water?"
46,B,Which object has the greatest flexibility? (A) wooden block (B) paper cup (C) metal nail (D) glass bottle
47,A,"A definite shape and a definite volume are properties of which state of matter? (A) solid, only (B) liquid, only (C) solid and liquid (D) liquid and gas"
48,D,Which Earth movement results in day and night? (A) erosion (B) deposition (C) revolution (D) rotation
49,B,Which tool should a student use to see the patterns on a small object? (A) balance (B) hand lens (C) thermometer (D) graduated cylinder
50,D,Which terms are both used to describe the weather? (A) gravity and wind direction (B) precipitation and runoff (C) groundwater and erosion (D) air temperature and wind speed
51,C,Which metric units should be used to describe the mass of an object? (A) centimeters (B) liters (C) grams (D) degrees Celsius
52,C,"When a cup of water at room temperature is put in a freezer, the water's state of matter will change from (A) liquid to gas (B) gas to liquid (C) liquid to solid (D) solid to liquid"
53,A,Which form of energy is produced when paper is burned? (A) heat (B) magnetic (C) electrical (D) chemical
54,A,Gravity and magnetism are both (A) common forces (B) natural cycles (C) states of matter (D) forms of energy
55,B,At approximately which time of day is the Sun at the highest point in the sky to an observer in New York State? (A) 6 a.m. (B) noon (C) 6 p.m. (D) midnight
56,D,Which property of an object describes how easily electricity travels through it? (A) color (B) temperature (C) reflectivity (D) conductivity
